Nome|Estilo|Cervejaria|IBU|ABV|Horario
COFFEE & PANCAKE BRUNCH STOUT|Russian Imperial Stout| 5 Elementos, Fortaleza - CE| NI IBU |12% ABV |
ABYSSAL #SBB2018 [EXCLUSIVA #SBB2018 ♥]|Russian Imperial Stout|| NI IBU |12% ABV |Horário de Abertura: às 16h:15min
RESERVE 2018|Russian Imperial Stout| 5 Elementos, Fortaleza - CE| 100 IBU |12% ABV |
COCONUT & PANCAKE BRUNCH STOUT [LANÇAMENTO!! ♥]|Russian Imperial Stout|| NI IBU |12% ABV |Horário de Abertura: às 12h:00min
ABYSSAL|Russian Imperial Stout| 5 Elementos, Fortaleza - CE| NI IBU |12% ABV |
QUINTAL MORANGO COM HIBISCO|Sour| Antuérpia, Juiz de Fora - MG| 6 IBU |4.5% ABV |
ANTUÉRPIA RED ALE|Irish Red Ale| Antuérpia, Juiz de Fora - MG| 17 IBU |4.9% ABV |
PERDIÇÃO [SPECIAL SELECTION!! ♥]|New England IPA| Antuérpia, Juiz de Fora - MG| 60 IBU |6.5% ABV |
TABLA|American IPA| Antuérpia, Juiz de Fora - MG| 66 IBU |6.5% ABV |
ANTUÉRPIA BELGIAN TRIPEL|Belgian Tripel| Antuérpia, Juiz de Fora - MG| 35 IBU |7.8% ABV |
KREMLIN |Russian Imperial Stout| Antuérpia, Juiz de Fora - MG| 62 IBU |11% ABV |
FRUIT BEER COM PÊSSEGO MANGA HIBISCO ANIS [LANÇAMENTO!! ♥]|Fruit Beer|| 31 IBU |5.1% ABV |Horário de Abertura: às 12h:45min
AV 42 BALTIC PORTER AMORA E FRAMBOESA|Baltic Porter| Avenida 42, Araraquara - SP| 42 IBU |6.7% ABV |
BLOOD IPA |American IPA com Toranja| Avenida 42, Araraquara - SP| 55 IBU |7.5% ABV |
AV 42 IMPERIAL IPA|Imperial IPA| Avenida 42, Araraquara - SP| 100 IBU |7.5% ABV |
BARLEY WINE COM DAMASCO [LANÇAMENTO!! ♥]|Oak Aged American Barley Wine|| 86 IBU |8.0% ABV |Horário de Abertura: às 15h:15min
AV 42 DOUBLE RYE IPA|Double Rye IPA| Avenida 42, Araraquara - SP| 110 IBU |9.0% ABV |
VÓ MARIA ZEN|Hoppy Lager| Avós, São Paulo - SP| 18 IBU |4.9% ABV |
TMAVÉ DA MANTIQUEIRA [LANÇAMENTO!! ♥]|Tmave|| IBU |5.0% ABV |Horário de Abertura: às 12h:00min
GRAMMA'S JUICE [LANÇAMENTO!! ♥]|India Pale Lager com limão siciliano|| 40 IBU |5.5% ABV |Horário de Abertura: às 16h:00min
VÉIA VIAJA 2|New England India Pale Lager| Avós, São Paulo - SP| 55 IBU |6.0% ABV |
BOHEMIAN PILSNER COM LARANJA|Bohemian Pilsner| Avós, São Paulo - SP| IBU |6.0% ABV |
VÓ MARIA IN CONCERT|India Pale Lager| Avós, São Paulo - SP| 50 IBU |6.0% ABV |
VÓ JOAQUINA COM MORANGO [LANÇAMENTO!! ♥]|Double India Pale Lager|| 80 IBU |8.0% ABV |Horário de Abertura: às 15h:15min
CORLEONE |Imperial Red Ale| Backer, Belo Horizonte -MG| 62 IBU |7.7% ABV |
TOMMY GUN |Double IPA| Backer, Belo Horizonte -MG| 68 IBU |8.4% ABV |
BRAVO|Imperial Porter| Backer, Belo Horizonte -MG| 42 IBU |9.0% ABV |
VOTORANTINNER SAUER|Berliner Weisse| Bamberg, Votorantim -SP| 8 IBU |3.5% ABV |
BAMBERG PILSEN|Pilsner| Bamberg, Votorantim -SP| NI IBU |4.8% ABV |
BAMBERG ALTBIER|Altbier| Bamberg, Votorantim -SP| NI IBU |4.8% ABV |
SEPULTURA ALE|Altbier| Bamberg, Votorantim -SP| NI IBU |4.8% ABV |
CAMILA CAMILA|Czech Pilsner| Bamberg, Votorantim -SP| NI IBU |5.0% ABV |
BAMBERG WEIZEN COM GENGIBRE [EXCLUSIVA #SBB2018 ♥]|Weizen|| IBU |5.0% ABV |Horário de Abertura: às 12h:00min
RAUCHBIER HABANERO [EXCLUSIVA #SBB2018 ♥]|Rauchbier + Pimenta Habanero|| NI IBU |5.2% ABV |Horário de Abertura: às 14h:30min
BAMBERG WEIZENBOCK DUNKEL + UMBURANA [EXCLUSIVA #SBB2018 ♥]|Weizenbock Dunkel|| NI IBU |8.2% ABV |Horário de Abertura: às 14h:30min
[LANÇAMENTO!! ♥] |Surpresa!|| NI IBU |NI ABV |Horário de Abertura: às 15h:40min
[LANÇAMENTO!! ♥] |Surpresa!|| NI IBU |NI ABV |Horário de Abertura: às 14h:10min
SERRA SAUER|Catharina Sour com Açaí| Black Princess, Teresópolis-RJ| NI IBU |NI ABV |
BLACK PRINCESS GOLD|American Lager| Black Princess, Teresópolis-RJ| 12 IBU |4.7% ABV |
BLACK PRINCESS DARK|American Dark Lager| Black Princess, Teresópolis-RJ| 12 IBU |4.8% ABV |
DOCTOR WEISS| Kristall Weizen| Black Princess, Teresópolis-RJ| 16 IBU |5.2% ABV |
MISS BLOND|Blond Ale| Black Princess, Teresópolis-RJ| 22 IBU |5.2% ABV |
BACK TO THE RED|Red Lager| Black Princess, Teresópolis-RJ| 18 IBU |5.5% ABV |
LET'S HOP|English IPA| Black Princess, Teresópolis-RJ| 46 IBU |5.5% ABV |
CACAU IPA|American IPA| Bodebrown, Curitiba - PR| 74 IBU |6.1% ABV |
BRUT IPA GALAXY|Brut IPA| Bodebrown, Curitiba - PR| IBU |6.5% ABV |
REGINA SOUR|Berliner Weisse| Bodebrown, Curitiba - PR| NI IBU |6.6% ABV |
PERIGOSA|Double IPA| Bodebrown, Curitiba - PR| 100 IBU |9.2% ABV |
4 BLés au Cognac [LANÇAMENTO!! ♥]|Belgian Specialty Ale|| IBU |11.7% ABV |Horário de Abertura: às 15h:45min
CHILLI PEPIS|Pepper American Lager| Brassaria Ampolis, Rio de Janeiro - RJ| NI IBU |4.1% ABV |
DITRIGUIS|Witbier| Brassaria Ampolis, Rio de Janeiro - RJ| 20 IBU |4.5% ABV |
CACILDIS|Amber Lager| Brassaria Ampolis, Rio de Janeiro - RJ| 13 IBU |4.6% ABV |
FORÉVIS|Session IPA| Brassaria Ampolis, Rio de Janeiro - RJ| 46 IBU |5.0% ABV |
PUNK IPA|American IPA| Brew Dog, Ellon - Escócia| 35 IBU |5.6% ABV |
ELVIS JUICE|American IPA| Brew Dog, Ellon - Escócia| 40 IBU |6.5% ABV |
CAPITU YOU GLUTEN - FREE|Glúten Free| Capitu, São Paulo - SP | 12 IBU |3.4% ABV |
DIADORIM GLUTEN - FREE|Glúten Free| Capitu, São Paulo - SP | 18 IBU |5.3% ABV |
CAPITU AMBER ALE|American Amber Ale| Capitu, São Paulo - SP | 28 IBU |6.2% ABV |
MACUNAIPA|American IPA| Capitu, São Paulo - SP | 65 IBU |7.0% ABV |
GINGER PALE ALE|American Pale Ale com Gengibre| Caravan Beer, São Paulo - SP| 35 IBU |5.2% ABV |
BELLINI BRETT IPA [LANÇAMENTO!! ♥]|Brut IPA com pêssego e brettanomyces || 15 IBU |6.0% ABV |Horário de Abertura: às 13h:15min
CARAVAN WEST COAST IPA|West Coast IPA| Caravan Beer, São Paulo - SP| 70 IBU |7.1% ABV |
W.O.T.'S UP CARAVAN? [LANÇAMENTO!! ♥]|Russian Imperial Stout|| IBU |9.6% ABV |Horário de Abertura: às 15h:00min
CEVADA RED ALE|Irish Red Ale| Cevada Pura, Piracicaba - SP| 28 IBU |4.5% ABV |
SESSION TROPICAL IPA|India Session Ale| Cevada Pura, Piracicaba - SP| 40 IBU |4.8% ABV |
CEVADA NEW ENGLAND IPA [LANÇAMENTO!! ♥]|New England IPA|| 75 IBU |6.5% ABV |Horário de Abertura: às 13h:00min
CEVADA BELGIAN TRIPEL|Belgian Tripel| Cevada Pura, Piracicaba - SP| 30 IBU |7.5% ABV |
MADEIRAS DO BRASIL : AMBURANA|Amber Ale| Cia de Brassagem Brasil, São Paulo - SP| 23 IBU |4.5% ABV |
SENTIMENTOS DE BRASILIDADE|Catharina Sour com Cupuaçu| Cia de Brassagem Brasil, São Paulo - SP| 6 IBU |5.5% ABV |
ELEFANTE COR-DE-ROSA|Belgian IPA| Cia de Brassagem Brasil, São Paulo - SP| 74 IBU |7.1% ABV |
NEW PARÁ AIPIEI [EXCLUSIVA #SBB2018 ♥] #CERVEJAOFICIAL|NEIPA com Cupuaçu|| 45 IBU |6.5% ABV |Horário de Abertura: às 12h:00min
CORUJA VIVA|Pale Lager| Coruja, Forquilhinha -SC| 15 IBU |4.5% ABV |
CORUJA WEIZEN VIVA|Weizen| Coruja, Forquilhinha -SC| 18 IBU |5.5% ABV |
CORUJA EXTRA VIVA|Pale Lager| Coruja, Forquilhinha -SC| 25 IBU |6.5% ABV |
CORUJA IPA VIVA|American IPA| Coruja, Forquilhinha -SC| 58 IBU |6.7% ABV |
PEDRAS DE ANGRA [LANÇAMENTO!! ♥]|Belgian Style Lambic|| 09 IBU |3.5% ABV |Horário de Abertura: às 14h:45min
WILD ALE COM PITANGA [LANÇAMENTO!! ♥]|Wild Ale|| IBU |3.5% ABV |Horário de Abertura: Torneiras Giratórias
NOVEMBRADA|Catharina Sour com capim limão e graviola| Cozalinda, Florianópolis -SC| IBU |4.5% ABV |
WILD ALE COM FRAMBOESAS [LANÇAMENTO!! ♥]|Wild Ale|| IBU |5.0% ABV |Horário de Abertura: Torneiras Giratórias
ROSÉ DE VEROLME [LANÇAMENTO!! ♥]|Mixed Culture Brett Beer com Framboesas|| IBU |5.0% ABV |Horário de Abertura: às 14h:45min
MACACADA 2018|Wild Ale com Amora| Cozalinda, Florianópolis -SC| IBU |6.0% ABV |
PRAIA DO MEIO|Fermentação Mista| Cozalinda, Florianópolis -SC| IBU |6.4% ABV |
TWINN CIRCLES|Sour Ale com Cajá e infusão de Carvalho Francês| Croma Beer, São Paulo - SP| 8 IBU |3.9% ABV |
MIXIRICA|New England APA| Croma Beer, São Paulo - SP| 35 IBU |5.5% ABV |
BLOCKHEADS|New England IPA Experimental| Croma Beer, São Paulo - SP| 40 IBU |7.0% ABV |
GREEN FORCE #4 CENTENNIAL|New England IPA Single Hop| Croma Beer, São Paulo - SP| 45 IBU |7.2% ABV |
FLOWER TRIP|West Coast IPA| Croma Beer, São Paulo - SP| 80 IBU |8.5% ABV |
MONKEY NIGHT COCO EDITION [LANÇAMENTO!! ♥]|Russian Imperial Stout || 80 IBU |10% ABV |Horário de Abertura: às 15h:15min
PURPLE SOUR [LANÇAMENTO!! ♥]|Berliner Weisse com Jabuticaba e Mirtilo|| 5 IBU |3.7% ABV |Horário de Abertura: às 14h:45min
DOUBLE PINK LEMONADE|American Sour| Dádiva, Várzea Paulista - SP| IBU |4.4% ABV |
SUDDEN LIFE|New England IPA| Dádiva, Várzea Paulista - SP| 45 IBU |5.6% ABV |
HOPPY LAGER|Hoppy Lager| Dádiva, Várzea Paulista - SP| IBU |6.5% ABV |
HEART BEAT 2|Double IPA| Dádiva, Várzea Paulista - SP| 70 IBU |8.1% ABV |
BIOMA [LANÇAMENTO!! ♥]|Russian Imperial Stout|| 40 IBU |10.5% ABV |Horário de Abertura: às 12h:00min
DAMA SOUR FRUIT |Sour Ale| Dama Bier, Piracicaba - SP| 6 IBU |4.0% ABV |
DAMA AMERICAN LAGER - DRY HOP CITRA|American Lager| Dama Bier, Piracicaba - SP| 25 IBU |4.5% ABV |
NEW FLOWERS ROSA [LANÇAMENTO!! ♥]|Brut IPA|| 20 IBU |6.0% ABV |Horário de Abertura: às 13h:45min
NEW FLOWERS JASMIM|Juicy IPA com Manga| Dama Bier, Piracicaba - SP| 35 IBU |6.0% ABV |
DAMA YOUNG |American IPA| Dama Bier, Piracicaba - SP| 65 IBU |6.5% ABV |
MININE|India Session Ale| Daoravida, Campinas - SP| 40 IBU |5.0% ABV |
COMMONZINHA|California Commom| Daoravida, Campinas - SP| 23 IBU |5.1% ABV |
AKAYA|Brazilian Juicy IPA| Daoravida, Campinas - SP| 60 IBU |6.5% ABV |
{78} BLACK COFFEE EDITION|India Black Ale com Café| Daoravida, Campinas - SP| IBU |7.8% ABV |
{78} IPA|American IPA | Daoravida, Campinas - SP| 78 IBU |7.8% ABV |
{78} IBA|India Black Ale| Daoravida, Campinas - SP| 78 IBU |7.8% ABV |
LABIRINTITE|Belgian Tripel| Daoravida, Campinas - SP| 23 IBU |8.5% ABV |
BLACK WINE RUM [SPECIAL SELECTION!! ♥]|Barley Wine|| 50 IBU |10.5% ABV |Horário de Abertura: às 16h:15min
BRUGSE ZOT|Blond Ale| De Halve Maan, Bruges - Bélgica| 23 IBU |6.0% ABV |
BRUGSE ZOT DUBBEL|Belgian Dubbel| De Halve Maan, Bruges - Bélgica| 27 IBU |7.5% ABV |
STRAFFE HENDRIK TRIPEL |Belgian Tripel| De Halve Maan, Bruges - Bélgica| 35 IBU |9.0% ABV |
STRAFFE HENDRIK QUADRUPEL|Quadrupel| De Halve Maan, Bruges - Bélgica| 35 IBU |11% ABV |
DYNAMIC DISTORTION [LANÇAMENTO!! ♥]|Double IPA|| IBU |8.0% ABV |Horário de Abertura: às 12h:00min
MAGNUM OPUS|Double IPA| Dogma, São Paulo - SP| IBU |9.0% ABV |
CAKE|Russian Imperial Stout| Dogma, São Paulo - SP| IBU |9.6% ABV |
DUTCH GRANNY BREAKFAST|Russian Imperial Stout| Dogma, São Paulo - SP| IBU |9.8% ABV |
ENJOY THE SPRING|New England IPA| Everbrew, Santos - SP| 50 IBU |6.3% ABV |
EVERMONT 2|New England IPA| Everbrew, Santos - SP| 70 IBU |7.4% ABV |
EVERBLEND|New England IPA| Everbrew, Santos - SP| 70 IBU |7.5% ABV |
EVEN MO EVER MAIS [LANÇAMENTO!! ♥]|Double New England IPA|| 70 IBU |8.7% ABV |Horário de Abertura: às 14h:15min
EVERMEX|Double American Stout| Everbrew, Santos - SP| 70 IBU |11% ABV |
ÉL MAGRITO LARANJÓN [LANÇAMENTO!! ♥]|Sour Ale|| 27 IBU |5.0% ABV |Horário de Abertura: às 14h:00min
RUMPEL TRIP USA|American IPA| Freaktion, São Paulo - SP| 65 IBU |6.0% ABV |
RUMPELSTILTSKIN|American IPA | Freaktion, São Paulo - SP| 50 IBU |6.3% ABV |
RUMPEL TRIP CND [LANÇAMENTO!! ♥]|American IPA com Blueberry e Maple|| 65 IBU |7.0% ABV |Horário de Abertura: às 13h:15min
LONDON PRIDE|English Biiter| Fuller's, Londres - Inglaterra| NI IBU |4.1% ABV |
FULLER'S & FRIENDS GALLEON [SPECIAL SELECTION!! ♥]|Pale Lager|| NI IBU |4.8% ABV |Horário de Abertura: às 14h:15min
FULLER'S ESB|Extra Special Bitter| Fuller's, Londres - Inglaterra| 40 IBU |5.5% ABV |
FULLER'S BLACK IPA|Black IPA| Fuller's, Londres - Inglaterra| NI IBU |5.7% ABV |
FULLER'S & FRIENDS FLORA & THE GRIFFIN [SPECIAL SELECTION!! ♥]|Rye Beer|| 35 IBU |7.1% ABV |Horário de Abertura: às 14h:15min
SESSION IPA YELLOW SUB|Session IPA| FürstBier, Formiga - MG| 25 IBU |4.0% ABV |
FÜRST CATHARINA SOUR ACEROLA [LANÇAMENTO!! ♥]|Catharina Sour com Acerola|| 10 IBU |4.1% ABV |Horário de Abertura: às 12h:30min
FÜRST HOP LAGER [LANÇAMENTO!! ♥]|India Pale Lager|| 13 IBU |4.8% ABV |Horário de Abertura: às 12h:30min
OKTOBERFEST|Oktoberfest| FürstBier, Formiga - MG| 15 IBU |5.1% ABV |
FÜRST BRUT IPA [LANÇAMENTO!! ♥]|Brut IPA|| 25 IBU |5.3% ABV |Horário de Abertura: às 12h:30min
FÜRST ENGLISH IPA|English IPA| FürstBier, Formiga - MG| 65 IBU |6.9% ABV |
WEE HEARY|Wee Heavy| FürstBier, Formiga - MG| 35 IBU |8.0% ABV |
BAD COMPANY [SPECIAL SELECTION!! ♥]|Witbier|| 20 IBU |5.1% ABV |Horário de Abertura: às 12h:30min
ADIÓS MR. AMERICAN PIE|Sour Ale | Heroica, São Paulo - SP| 7 IBU |5.5% ABV |
BLACK MILK MIRROR|Milkshake Imperial Porter| Heroica, São Paulo - SP| IBU |8.5% ABV |
EVENT HORIZON|New England IPA| Hocus Pocus, Rio de Janeiro - RJ| IBU |7.0% ABV |
OVERDRIVE - Triple Dry Hopped [LANÇAMENTO!! ♥]|New England Double IPA|| IBU |7.2% ABV |Horário de Abertura: às 14h:30min
SPIRAL ARCHITECT [LANÇAMENTO!! ♥]|New England IPA|| IBU |7.5% ABV |Horário de Abertura: às 12h:00min
PINEAPPLE EXPRESS [LANÇAMENTO!! ♥]|West Coast Double IPA|| IBU |8.5% ABV |Horário de Abertura: às 12h:00min
RABBIT HOLE|Russian Imperial Stout com cacau, aveia, coco, coco torrado e nozes negras| Hocus Pocus, Rio de Janeiro - RJ| IBU |9.5% ABV |
THE STONED APE THEORY [LANÇAMENTO!! ♥]|Russian Imperial Stout com banana|| IBU |12% ABV |Horário de Abertura: às 16h:30min
FLYING MELON|Witbier com Melão| Hop Flyers, Piracicaba - SP| IBU |5.1% ABV |
